[2010-11-01 21:47:49,623] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:57:41,946] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:57:44,193] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:57:46,672] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:57:49,168] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:45,665] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:47,922] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:50,196] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:52,459] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:54,734] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:57,006] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 21:59:59,286] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:01,547] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:03,799] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:06,075] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:08,337] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
[2010-11-01 22:00:10,584] (DEBUG) process.py: 23:  ./hadoop_client/bin/hadoop dfs -test -e hdfs://10.249.69.101:9000/user/daogou/indexbuilder/backup/news/partition_0/version_list
